mechanism,polymer_name,directory,n_atoms_in_topology,Density
polyamide,"poly(naphthalene-1,5-diamine-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2h-indene-5-carboxylic acid)","polymer_update/polyamide/poly(naphthalene-1,5-diamine-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2h-indene-5-carboxylic acid)/trimer/1x1x1",183,1.2
polyamide,"poly(4-(4-aminophenoxy)aniline-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2h-indene-5-carboxylic acid)","polymer_update/polyamide/poly(4-(4-aminophenoxy)aniline-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2h-indene-5-carboxylic acid)/trimer/1x1x1",198,1.183
polyamide,"poly(3,3-bis[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]-2-phenylisoindol-1-one-co-benzene-1,3-dicarboxylic acid)","polymer_update/polyamide/poly(3,3-bis[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]-2-phenylisoindol-1-one-co-benzene-1,3-dicarboxylic acid)/trimer/1x1x1",336,1.267
polyester,"poly(2-ethyl-2-methylpropane-1,3-diol-co-decanedioic acid)","polymer_update/polyester/poly(2-ethyl-2-methylpropane-1,3-diol-co-decanedioic acid)/trimer/1x1x1",147,1.275
polyamide,"poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-4-[2-(4-carboxyphenyl)-1,1,1,3,3,3-hexafluoropropan-2-yl]benzoic acid)","polymer_update/polyamide/poly(4-[4-[4-[1-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]cyclohexyl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-4-[2-(4-carboxyphenyl)-1,1,1,3,3,3-hexafluoropropan-2-yl]benzoic acid)/trimer/1x1x1",366,1.24
polyamide,"poly(4-[4-amino-2-(trifluoromethyl)phenyl]-3-(trifluoromethyl)aniline-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2h-indene-5-carboxylic acid)","polymer_update/polyamide/poly(4-[4-amino-2-(trifluoromethyl)phenyl]-3-(trifluoromethyl)aniline-co-1-(4-carboxyphenyl)-1,3,3-trimethyl-2h-indene-5-carboxylic acid)/trimer/1x1x1",213,1.271
polycarbonate_phosgene,poly(4-[4-(4-hydroxyphenyl)heptan-4-yl]phenol-co-carbonyl dichloride),polymer_update/polycarbonate_phosgene/poly(4-[4-(4-hydroxyphenyl)heptan-4-yl]phenol-co-carbonyl dichloride)/trimer/1x1x1,137,1.116
polycarbonate_phosgene,"poly(1,1,1',1'-tetramethyl-3,3'-spirobi[2h-indene]-5,5'-diol-co-carbonyl dichloride)","polymer_update/polycarbonate_phosgene/poly(1,1,1',1'-tetramethyl-3,3'-spirobi[2h-indene]-5,5'-diol-co-carbonyl dichloride)/trimer/1x1x1",143,1.147
polyamide,"poly(4-[4-[4-[2-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]propan-2-yl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-benzene-1,3-dicarboxylic acid)","polymer_update/polyamide/poly(4-[4-[4-[2-[4-[4-(4-aminophenyl)-2-(trifluoromethyl)phenoxy]phenyl]propan-2-yl]phenoxy]-3-(trifluoromethyl)phenyl]aniline-co-benzene-1,3-dicarboxylic acid)/trimer/1x1x1",288,1.295
polyester,"poly(ethane-1,2-diol-co-phthalic acid)","polymer_update/polyester/poly(ethane-1,2-diol-co-phthalic acid)/trimer/1x1x1",69,1.34
